Name,Project,Component,Quote Line Items,Total Quantity,Base Price (from Component),Base Cost (With OR) (from Quote Line Items),Components copy1
"""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_""","""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_""","""Hardware: Hager, Cylindrical Passage, 2510 2-3/4 WTN ASA, US26D""","527,557,563,551,569,575,581,604",441,,$0.00,"""Hardware: Hager, Cylindrical Passage, 2510 2-3/4 WTN ASA, US26D"""
"""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_""","""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_""","""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM""","528,552,558,564,570,576,582,605",441,$4.96,$4.96,"""Hardware: Hager, Closer, 5200 MLT ADJ 1-6 ALM BF, ALM"""
"""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_""","""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_""","""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D""","523,529,553,559,565,571,577,583,606",1638,$3.96,$3.96,"""Hardware: Hager, Hinges, BB1279 4.5x4.5, US26D"""
"""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_"", ""Home 2 Suites - Springfield, OH_""","""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_"",""Home 2 Suites - Springfield, OH_""","""Hardware: Pemko, Door Shoe, 2173DV35.625, Dark Bronze Aluminum""","524,530,554,560,566,572,578,584,607",546,,$0.00,"""Hardware: Pemko, Door Shoe, 2173DV35.625, Dark Bronze Aluminum"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Hardware: Hager, Closer, 5200 TRK ADJ 1-6 ALM HOTA, ALM""",587,1,,$0.00,"""Hardware: Hager, Closer, 5200 TRK ADJ 1-6 ALM HOTA, ALM"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Door: Hollow Core Wood, Flush, Plastic Laminate """,591,2,,$300.00,"""Door: Hollow Core Wood, Flush, Plastic Laminate """
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Frame: Hollow Metal, Welded, (16 Gauge)""",592,2,,$100.00,"""Frame: Hollow Metal, Welded, (16 Gauge)"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Door: Hollow Core Wood, 2 Panel, Pre-Painted""",593,1,,$75.00,"""Door: Hollow Core Wood, 2 Panel, Pre-Painted"""
H2S Brooklyn _Brooklyn NY,H2S Brooklyn _Brooklyn NY,"""Frame: Hollow Metal, Welded, (18 Gauge)""",594,1,,$50.00,"""Frame: Hollow Metal, Welded, (18 Gauge)"""
"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA""","""Frame: Hollow Metal, Cased Welded, (16 Gauge)""","595,597,598,600",6,,$0.00,
"""Tru by Hilton _Monroe, PA""","""Tru by Hilton _Monroe, PA""","""Door: Solid Core Wood, Flush, Plastic Laminate ""","596,599",3,,$0.00,
